Chamber,RSQ w/out Background Subtraction,RSQ w Background Subtraction,% Change in RSQ
1,0.0881073600751997,0.0192511094090617,-78.1503958436266
2,0.537581516056028,0.695168661303768,29.3140929405234
3,0.130633705753115,0.691585930349747,429.408490988365
4,0.0177760831546439,0.480785870313999,2604.67833735576
5,0.170617755208272,0.0207837329456363,-87.8185403856324
6,0.967859471662864,0.973012636395567,0.53242902338386
7,0.474566798348514,0.745024871007618,56.9905171622401
8,0.54139720422414,0.944527617640212,74.4611184303741
9,0.106478939006144,0.0197674812456443,-81.4353134712361
10,0.26655468931384,0.905560144070351,239.727710812902
11,0.412685823574097,0.928541031268623,124.999497978128
12,0.319680734155618,0.523044002737929,63.6144899752751
13,0.503986525838192,0.723709589146746,43.597011436591
14,0.143568426204429,0.00861044734145866,-94.002548074743
15,0.585276185472905,0.351195664746799,-39.9948821660954
16,0.302740796196067,0.142637456790717,-52.8846265244215
17,0.557030898481987,0.785017218328029,40.9288462215196
18,0.493550862250132,0.164950745796226,-66.5787746688954
19,0.656333988004052,0.5459204057265,-16.8227738157102
20,0.47994680789371,0.301331778262278,-37.2155886222685
21,0.334674125966193,0.540563508256559,61.519360570815
22,0.168478727235414,0.799213037909252,374.370296490025
23,0.0118609649604793,0.513159634785104,4226.45772494018
24,0.489040253736569,0.98843521708995,102.117353231701
25,0.116494047350635,0.853095356571281,632.308110133345
26,0.488625581656885,0.968422385901779,98.1931405674558
27,0.998347618459858,0.999193484678872,0.0847266226085961
28,0.132492372621128,0.573853181135929,333.12167318258
29,0.494533288282453,0.985540687880108,99.2870270276357
30,0.611396260185554,0.987405513101902,61.5000904327142
31,0.610848525876541,0.987514233416901,61.6627022222671
32,0.574944750969607,0.989751030370375,72.1471547833464
33,0.409749911416228,0.977878143527623,138.652435615608
34,0.940760692386015,0.913128686007256,-2.93719822717904
35,0.651582905370563,0.858378042062256,31.7373483845599
36,0.460501944689823,0.961520312436606,108.798317471656
37,0.130095921383023,0.799715244141368,514.712002989609
38,0.108623165377752,0.0128234944515979,-88.194512278295
39,0.932417189746979,0.919888577005146,-1.34367028832157
40,0.813663346024939,0.771498081738059,-5.18215113079304
41,0.223069884929617,0.619156860484706,177.561832553086
42,0.0831523217620679,0.895800617942512,977.30078843229
43,0.468196600292728,0.979231917373498,109.149728289624
44,0.0096288447781202,0.735827872739367,7541.91229265012
45,0.014170718548434,0.82775890756755,5741.33334338946
46,0.136826761710894,0.944874038938662,590.56230456957
47,0.033542969428015,0.880268777021832,2524.30187914917
48,0.545983558854162,0.929977602578265,70.3306972338104
49,0.361485845906176,0.926483437051236,156.298676018342
50,0.357072990113183,0.927259275573526,159.683398422157
51,0.271514759267295,0.873533606137291,221.726011688865
52,0.15529230515382,0.817400706793544,426.362659105287
53,0.0874526026408544,0.78202211518742,794.223947112227
54,0.0387805465614818,0.844841597507576,2078.51905766254
55,0.609952210369349,0.971187095150834,59.2234733542066
56,0.00980702752092544,0.707382461287619,7113.01597021384
57,0.0108977229507149,0.624853179215007,5633.7957850545
58,0.455471885411848,0.88021729130698,93.2539240069819
59,0.735315438536019,0.896009539280662,21.8537640205921
60,0.629151901091457,0.935112551068169,48.6306485676876
61,0.3615546472996,0.65839978111502,82.1024251886996
62,0.0203866598704076,0.444139473190594,2078.5789139264
63,0.312404833822538,0.983586159375205,214.843450832753
64,0.989412115767344,0.99168659732996,0.229882121551692
65,0.813628735080508,0.988614631515139,21.506848134772
66,0.465858652849521,0.942396512037529,102.292370501903
67,0.520490978434484,0.920474549134889,76.8473589885193
68,0.0135691764187512,0.311532931659134,2195.88681026085
69,0.589079495997172,0.917641319784156,55.7754642657876
